0;C2, C12;36;;
1;C3, C13;36;;
2;C6, C15;44;A-44;povodne 29
3;C8, C16;29;;
4;C9, C19, C21;48;A-48;povodne 29
5;C20, C10, C11;65;A-36, B-36;
6;C7, C17, C18;36;;
7;C4, C5, C14;52;A-29, B-29;
8;D1;36;;
9;D2;36;;
10;D3;36;;
11;D4;36;;
12;D5;36;;
13;D6;36;;
